Round,Loss,Accuracy
1,2.1919840403965543,0.37258687258687256
2,1.8819896650130223,0.4980694980694981
3,1.2374121397158353,0.6583011583011583
4,0.8885729851409735,0.7258687258687259
5,0.6934795462486827,0.803088803088803
6,0.6383864891114842,0.8108108108108109
7,0.5689101449311009,0.8416988416988417
8,0.5256017899881459,0.859073359073359
9,0.48202863715330146,0.861003861003861
10,0.43860291168956683,0.8803088803088803
11,0.3956983602645314,0.8976833976833977
12,0.38498714623764213,0.9034749034749034
13,0.3733092418738774,0.9092664092664092
14,0.3282338180597224,0.918918918918919
15,0.31320196499465514,0.9285714285714286
