Round,Average Loss,Average Accuracy
1,2.1976503816329624,0.3954743419230716
2,1.920147410400437,0.5976362454144304
3,1.2952865757672862,0.7742455523446515
4,0.791543414311085,0.8143318829501258
5,0.5849479125585728,0.850398227953658
6,0.4669363399898063,0.8782269947120965
7,0.4044630796215381,0.8912712518572102
8,0.34880570842168496,0.9104361767836131
9,0.3252894988999869,0.9113566151766128
10,0.2831110314441841,0.9297071408806264
11,0.26823952378914523,0.9298589250329022
12,0.25031552850197153,0.9360024207171737
13,0.2324981322518442,0.9401713127045845
14,0.24066024388852975,0.9347766511626591
15,0.199867232113497,0.9481742456118066
