Round,Loss,Accuracy
1,2.205400643810149,0.3911290322580645
2,1.9312480726549703,0.5766129032258065
3,1.2957338171620523,0.7520161290322581
4,0.7917444186825906,0.7983870967741935
5,0.5917984285662251,0.8467741935483871
6,0.4633805982528194,0.8830645161290323
7,0.41310695871230096,0.905241935483871
8,0.3526805970937975,0.9173387096774194
9,0.31802868122054684,0.9092741935483871
10,0.28433511958968255,0.9354838709677419
11,0.2713444151224629,0.9314516129032258
12,0.24188902829923936,0.9375
13,0.2298831370088362,0.9415322580645161
14,0.23500726203764638,0.9334677419354839
15,0.1964951902627945,0.9495967741935484
