Round,Average Loss,Average Accuracy
1,2.1662437578042884,0.4368974825970474
2,1.7875048882702904,0.6159697694654521
3,1.0349544100566879,0.7766828113089063
4,0.612722040460738,0.8512690791377472
5,0.4516826517943899,0.8795843345085884
6,0.37544020464141126,0.8958685126717849
7,0.32284163759013185,0.9097318496116593
8,0.2790086896635658,0.9224134203573726
9,0.2543261697266024,0.9272099897672157
10,0.23690979773496973,0.9314358111854122
11,0.21093748601370377,0.9409952537166976
12,0.19523642435559213,0.946254685877578
13,0.1909278235632361,0.9440315808144565
14,0.1740964750181722,0.952630200778981
15,0.15995563969832274,0.954945226946635
