Round,Loss,Accuracy
1,2.153864065806071,0.5119047619047619
2,1.7743271267603313,0.626984126984127
3,0.9462688309805733,0.8333333333333334
4,0.5281317446913038,0.8809523809523809
5,0.3695591678695073,0.8968253968253969
6,0.3247129902953193,0.9027777777777778
7,0.2374963890465479,0.9345238095238095
8,0.19387231885440767,0.9464285714285714
9,0.1756542335663523,0.9523809523809523
10,0.15177652630068006,0.9583333333333334
11,0.1411911179385488,0.9583333333333334
12,0.12169492729599514,0.9722222222222222
13,0.11278118003928472,0.9742063492063492
14,0.10608293033308452,0.9682539682539683
15,0.09606438656411474,0.9742063492063492
